openalex_id,doi,url,title,publication_year,authors,source,publisher,issn,volume,issue,pages,keywords,abstract,type,q1_scope,q2_overview,q3_diagnostics_frameworks,q4_narratives,rationale,error_log,source_type,is_oa,oa_url,cited_by_count,countries,institutions,topics,sdgs,funders
W4308864330,https://doi.org/10.5334/jcaa.96,https://doi.org/10.5334/jcaa.96,FAIRer Data through Digital Recording: The FAIMS Mobile Experience,2022,"Shawn Ross, Brian Ballsun-Stanton, Steve Cassidy, Penny Crook, Jens Klump, Adéla Sobotková",Journal of Computer Applications in Archaeology,Ubiquity Press,2514-8362,5,1,271,Metadata; Interoperability; Workflow; Field (mathematics); Computer science; Software; Sociotechnical system; Automatic identification and data capture; Digital data; Data science; World Wide Web; Database; Knowledge management; Data transmission,"Critical data and metadata must be captured or created in the field, or shortly thereafter, to avoid loss. For the past 10 years, the Field Acquired Information Management Systems (FAIMS) project has developed and operated a customisable field data capture platform. Over time, we built features and approaches that incorporated the Findable, Accessible, Interoperable, and Reusable (FAIR) principles into born-digital datasets created during fieldwork. This paper synthesises our experience helping more than 40 projects adapt the FAIMS platform to nearly 70 research workflows in archaeology and other fieldwork domains. We review what elements of the FAIR Data Principles FAIMS was able to build into our software, how users received these capabilities, and what sociotechnical challenges impeded creation of FAIRer field data. Based on our experience, we argue that field data capture software can facilitate the production of FAIRer data, making those data much more Findable and Reusable, and somewhat more Accessible and Interoperable. Any such improvements, however, depend upon (1) making FAIR-data features an integral part of field data collection systems, minimising the burden imposed on researchers, and (2) researchers’ willingness to spend time and resources implementing FAIR Data Principles that do not provide immediate benefits to their research.",article,True,True,True,True,"The paper is in scope as it discusses the sociotechnical challenges of incorporating FAIR principles into a field data capture platform across multiple fieldwork domains. It serves as a descriptive overview of the FAIMS project and its approach to FAIR data. The paper also diagnoses sociotechnical challenges and proposes generalized conditions for facilitating FAIRer data, making Q3 true. Finally, it is an experience report evaluating how FAIR principles were implemented and the challenges encountered, thus fulfilling Q4.",,journal,True,http://journal.caa-international.org/articles/10.5334/jcaa.96/galley/150/download/,6,AU; DK,Aarhus University; Macquarie University; Commonwealth Scientific and Industrial Research Organisation,Research Data Management Practices; Image Processing and 3D Reconstruction; Semantic Web and Ontologies,"Industry, innovation and infrastructure",
W2943144641,https://doi.org/10.2218/ijdc.v13i1.663,https://doi.org/10.2218/ijdc.v13i1.663,Tiny Data: Building a Community of Practice around Humanities Datasets,2019,"Veronica Ikeshoji-Orlati, Mary Anne Caton, Suellen Stringer‐Hye",International Journal of Digital Curation,University of Edinburgh,1746-8256,13,1,319-326,Data curation; Metadata; Humanism; Digital humanities; Constructive; Data science; Computer science; Data management plan; Digital curation; Sociology; World Wide Web; Library science; Data management; Political science; Database,"Quantitative data, the foundation of scientific research, have been in the foreground of discussions about data creation, curation, and publication pipelines. However, data for humanistic and social scientific inquiries take many forms, including physical and ephemeral primary resources (books, objects, performances, interactions); qualitative, free-form observations; as well as quantitative, structured data and metadata. At the Vanderbilt University Jean and Alexander Heard Library, we started the Tiny Data Working Group (TDWG) in 2016 to tackle some of the humanistic research data creation and curation issues in a constructive, collaborative, and interdisciplinary format. The present paper considers what it means to be FAIR with humanities data, as well as how to build a community of data-literate humanists, based on our experiences with the TDWG.",article,True,True,False,True,"The paper is in scope (Q1) because it discusses FAIR principles for humanities data within an interdisciplinary context, focusing on data stewardship. It is an overview (Q2) as its primary focus is describing the experiences and work of the specific Tiny Data Working Group (TDWG). It does not propose macroscopic frameworks or diagnose systemic challenges broadly (Q3), but rather considers issues based on a specific, localized initiative. It is a narrative (Q4) as it serves as an experience report, reflecting on the process and lessons learned from the TDWG's efforts.",,journal,True,http://www.ijdc.net/article/view/663/535,1,US,Vanderbilt University,Research Data Management Practices; Digital Humanities and Scholarship; Digital and Traditional Archives Management,Quality Education,
W2999870613,https://doi.org/10.1007/s12145-020-00441-0,https://doi.org/10.1007/s12145-020-00441-0,"Managing collaborative research data for integrated, interdisciplinary environmental research",2020,"Michael Finkel, Andreas Baur, Tobias K. D. Weber, Karsten Osenbrück, Hermann Rügner, Carsten Leven, Marc Schwientek, Johanna Schlögl, U. Hahn, Thilo Streck, Olaf A. Cirpka, Thomas Walter, Peter Grathwohl",Earth Science Informatics,Springer Science+Business Media,1865-0473,13,3,641-654,Metadata; Data management plan; Data management; Computer science; Data sharing; Workflow; Data science; Variety (cybernetics); Data governance; Data curation; Data quality; Data publishing; Metadata management; Outreach; Knowledge management; World Wide Web; Publishing; Database; Engineering,"Abstract The consistent management of research data is crucial for the success of long-term and large-scale collaborative research. Research data management is the basis for efficiency, continuity, and quality of the research, as well as for maximum impact and outreach, including the long-term publication of data and their accessibility. Both funding agencies and publishers increasingly require this long term and open access to research data. Joint environmental studies typically take place in a fragmented research landscape of diverse disciplines; researchers involved typically show a variety of attitudes towards and previous experiences with common data policies, and the extensive variety of data types in interdisciplinary research poses particular challenges for collaborative data management. In this paper, we present organizational measures, data and metadata management concepts, and technical solutions to form a flexible research data management framework that allows for efficiently sharing the full range of data and metadata among all researchers of the project, and smooth publishing of selected data and data streams to publicly accessible sites. The concept is built upon data type-specific and hierarchical metadata using a common taxonomy agreed upon by all researchers of the project. The framework’s concept has been developed along the needs and demands of the scientists involved, and aims to minimize their effort in data management, which we illustrate from the researchers’ perspective describing their typical workflow from the generation and preparation of data and metadata to the long-term preservation of data including their metadata.",article,True,True,True,True,"The paper is in scope as it addresses interdisciplinary data management challenges in environmental research, focusing on metadata and common taxonomies. It introduces and describes a specific research data management framework. It also diagnoses structural challenges in interdisciplinary data management and proposes a high-level framework. Finally, it provides an account of how the framework is implemented by illustrating the researchers' typical workflow.",,journal,True,https://link.springer.com/content/pdf/10.1007/s12145-020-00441-0.pdf,17,DE,University of Tübingen; University of Hohenheim,Research Data Management Practices; Scientific Computing and Data Management; Environmental Monitoring and Data Management,,Deutsche Forschungsgemeinschaft
W2120907496,https://doi.org/10.2489/jswc.69.6.532,https://doi.org/10.2489/jswc.69.6.532,Standardized research protocols enable transdisciplinary research of climate variation impacts in corn production systems,2014,"E. J. Kladivko, Matthew J. Helmers, Lori Abendroth, Daryl Herzmann, Rattan Lal, Michael J. Castellano, Daren S. Mueller, John E. Sawyer, Robert P. Anex, Raymond W. Arritt, Bruno Basso, W.K. Kellogg, J. V. Bonta, L. C. Bowling, Richard M. Cruse, Norman R. Fausey, Jane Frankenberger, Philip W. Gassman, Aaron J. Gassmann, Catherine L. Kling, Alexandra Kravchenko, Joseph G. Lauer, Fernando E. Miguez, Emerson D. Nafziger, Nsalambi V. Nkongolo, Matthew E. O’Neal, L. B. Owens, Phillip Owens, Peter C. Scharf, M. J. Shipitalo, Jeffrey S. Strock, María B. Villamil",Journal of Soil and Water Conservation,Soil and Water Conservation Society,0022-4561,69,6,532-542,Data collection; Cropping; Metadata; Baseline (sea); Environmental resource management; Productivity; Climate change; Sustainability; Agriculture; Computer science; Production (economics); Adaptation (eye); Process (computing); Agricultural productivity; Environmental science; Data science; Geography; Ecology; Statistics,"The important questions about agriculture, climate, and sustainability have become increasingly complex and require a coordinated, multifaceted approach for developing new knowledge and understanding. A multistate, transdisciplinary project was begun in 2011 to study the potential for both mitigation and adaptation of corn-based cropping systems to climate variations. The team is measuring the baseline as well as change of the system9s carbon (C), nitrogen (N), and water footprints, crop productivity, and pest pressure in response to existing and novel production practices. Nine states and 11 institutions are participating in the project, necessitating a well thought out approach to coordinating field data collection procedures at 35 research sites. In addition, the collected data must be brought together in a way that can be stored and used by persons not originally involved in the data collection, necessitating robust procedures for linking metadata with the data and clearly delineated rules for use and publication of data from the overall project. In order to improve the ability to compare data across sites and begin to make inferences about soil and cropping system responses to climate across the region, detailed research protocols were developed to standardize the types of measurements taken and the specific details such as depth, time, method, numbers of samples, and minimum data set required from each site. This process required significant time, debate, and commitment of all the investigators involved with field data collection and was also informed by the data needed to run the simulation models and life cycle analyses. Although individual research teams are collecting additional measurements beyond those stated in the standardized protocols, the written protocols are used by the team for the base measurements to be compared across the region. A centralized database was constructed to meet the needs of current researchers on this project as well as for future use for data synthesis and modeling for agricultural, ecosystem, and climate sciences.",article,True,True,False,True,"The paper is in scope (Q1) as it describes a transdisciplinary project focused on standardizing data collection and metadata for interoperability across institutions and states in agricultural and climate science. It serves as a descriptive overview of this specific data standardization and database effort (Q2). However, it does not propose macroscopic frameworks or diagnose general structural challenges, as its focus is highly specific to corn production systems (Q3 is False). The paper does tell the story of how these standardized protocols were developed, including the 'significant time, debate, and commitment' required, thus providing an account of its implementation (Q4).",,journal,True,https://www.jswconline.org/content/jswc/69/6/532.full.pdf,42,US,Purdue University West Lafayette; Michigan State University; University of Missouri; The Ohio State University; Lincoln University - Pennsylvania; University of Wisconsin–Madison; United States Department of Agriculture; University of Illinois Urbana-Champaign; Iowa State University,Soil Carbon and Nitrogen Dynamics; Plant responses to elevated CO2; Crop Yield and Soil Fertility,Zero hunger,National Institute of Food and Agriculture; U.S. Department of Agriculture
W4387234711,https://doi.org/10.2218/ijdc.v17i1.835,https://doi.org/10.2218/ijdc.v17i1.835,Data Curation in Interdisciplinary and Highly Collaborative Research,2023,Inna Kouper,International Journal of Digital Curation,University of Edinburgh,1746-8256,17,1,20,Data curation; Metadata; Interoperability; Computer science; Data science; Digital curation; Discipline; Data management; Research data; Knowledge management; World Wide Web; Database; Sociology; Social science,"This paper provides a systematic analysis of publications that discuss data curation in interdisciplinary and highly collaborative research (IHCR). Using content analysis methodology, it examined 159 publications and identified patterns in definitions of interdisciplinarity, projectsâ€™ participants and methodologies, and approaches to data curation. The findings suggest that data is a prominent component in interdisciplinarity. In addition to crossing disciplinary and other boundaries, IHCR is defined as curating and integrating heterogeneous data and creating new forms of knowledge from it. Using personal experiences and descriptive approaches, the publications discussed challenges that data curation in IHCR faces, including an increased overhead in coordination and management, lack of consistent metadata practices, and custom infrastructure that makes interoperability across projects, domains, and repositories difficult. The paper concludes with suggestions for future research.",article,True,False,True,True,"The paper is in scope as it systematically analyzes data curation, metadata practices, and interoperability challenges in interdisciplinary research. It is not an overview of a specific initiative, but rather a landscape analysis and diagnosis of systemic challenges in interdisciplinary data curation. Furthermore, it qualifies as a systematic review of the development and design of data sharing/interoperability efforts.",,journal,True,http://www.ijdc.net/article/view/835/680,3,US,Indiana University,Research Data Management Practices; Scientific Computing and Data Management; Interdisciplinary Research and Collaboration,"Industry, innovation and infrastructure",Institute of Museum and Library Services
W3162951243,https://doi.org/10.26907/1562-5419-2021-24-2-293-313,https://doi.org/10.26907/1562-5419-2021-24-2-293-313,Some Aspects of the Formation and Representation Prnciple of Interdisciplinary Collection in the Digital Space of Scientific Knowledge,2021,"Sergey Aleksandrovich Kirillov, Ирина Николаевна Соболевская, Aleksandr Nikolaevich Sotnikov",Russian Digital Libraries Journal,Kazan Federal University,1562-5419,24,2,294-314,Metadata; Presentation (obstetrics); Thematic map; Computer science; Space (punctuation); Cultural heritage; World Wide Web; Resource (disambiguation); Data science; Representation (politics); Digital library; Data collection; Multimedia; Geography; Sociology; Social science,"Interdisciplinary thematic projects implemented by means of the electronic library ""Scientific heritage of Russia"" allow integrating objects of various nature (printed publications, archival documents, multimedia objects) into a single thematic resource and making it accessible to users. The approaches to the formation of interdisciplinary thematic collections in the digital space of scientific knowledge are investigated. Algorithms for the formation and presentation of a digital interdisciplinary collection are presented. The method of creation and presentation of virtual collections in the information environment of the electronic library ""Scientific heritage of Russia"". The main types of sections present in most projects are indicated. The main stages of the formation of an interdisciplinary collection in the digital space of knowledge have been formed and described, including the composition of the collection sections, sources for presenting collection materials, dispatching work with sources, the formation of metadata, the main types of sections, etc. An example of the application of the content formation methodology for creating an interdisciplinary collection is given.",article,True,True,True,True,"The paper describes the approaches, algorithms, and stages for forming interdisciplinary thematic collections, including metadata formation, within the context of the 'electronic library 'Scientific heritage of Russia''. This addresses interdisciplinary data stewardship (Q1), provides an overview of a specific initiative's methodology (Q2), presents a generalized framework for collection formation (Q3), and details the process of how such collections are designed and implemented (Q4).",,journal,True,https://doi.org/10.26907/1562-5419-2021-24-2-293-313,2,,,Research Data Management Practices; Library Science and Information; 3D Surveying and Cultural Heritage,Sustainable cities and communities,
W4212763613,https://doi.org/10.1002/gdj3.148,https://doi.org/10.1002/gdj3.148,Rekiske: Interdisciplinary platform for sharing knowledge and experience of Japanese historical documents,2022,"Mika Ichino, Kooiti Masuda",Geoscience Data Journal,Wiley,2049-6060,10,1,63-72,Metadata; Data science; Reading (process); Computer science; Natural (archaeology); Data sharing; Earth science; Usability; World Wide Web; History; Archaeology; Political science; Geology,"Abstract Historical materials contain descriptions of various events involved in natural processes and human societies (such as weather, earthquakes, volcanic eruptions, harvests, market prices, and famines). They have been used for studies in diverse fields, including natural sciences (such as seismology, climatology, and astronomy), social sciences, and humanities. Hence, researchers have made various efforts, such as identifying and obtaining the materials, reading handwritten characters and transcribing them into digital texts, standardizing formats, extracting descriptions of relevant phenomena, and constructing integrated datasets, to use documentary information. Because scientists, other than historians, find it quite challenging even to ascertain where to find appropriate research materials, the Rekiske Development Group has, therefore, developed a system called Rekiske to facilitate interdisciplinary sharing of information available from historical materials. Rekiske is designed for sharing bibliographic and scientific information of historical materials, along with researchers’ experience and knowledge, through interdisciplinary collaboration. Rekiske can assist researchers in identifying and obtaining useful historical materials for research purposes. It also facilitates collaboration among experts to share their expertise and knowledge of historical information, materials, and recent studies. Using Rekiske, we register various types of information on historical materials regarding weather or earthquakes considered in geoscience research to utilize researchers’ experiences and to produce new knowledge through interdisciplinary collaborations. The developed system is designed to be used as a metadata portal and pathfinder to promote and preserve historical data and facilitate an understanding of the spatiotemporal connection between nature and human society. We have applied Rekiske to historical climatic studies and discuss its usage, benefits, usability, and other remaining issues.",article,True,True,False,True,"The paper is in scope as it describes an interdisciplinary platform (Rekiske) for sharing historical research data across natural sciences, social sciences, and humanities, focusing on metadata and standardization. It serves as a definitive overview of this specific initiative. However, it does not propose macroscopic frameworks or diagnose broad structural challenges, but rather describes a specific implementation. It does evaluate the usage, benefits, usability, and remaining issues of the implemented system, aligning with an experience report.",,journal,True,https://doi.org/10.1002/gdj3.148,2,JP,Research Organization of Information and Systems; Rissho University; National Institute of Informatics,Research Data Management Practices; Geographic Information Systems Studies,,Research Organization of Information and Systems; Japan Society for the Promotion of Science
W4413313837,https://doi.org/10.1108/dlp-06-2025-207,https://doi.org/10.1108/dlp-06-2025-207,Editorial: “The journey and challenges of transdisciplinarity in the development of community-centered digital libraries”,2025,Anna Maria Tammaro,Digital Library Perspectives,Emerald Publishing Limited,2059-5816,41,3,399-402,Transdisciplinarity; Sociology; Library science; Engineering ethics; Political science; Engineering; Computer science; Social science,"Transdisciplinarity refers to an approach that transcends traditional disciplinary boundaries to create a holistic understanding and address complex community problems by integrating knowledge from various fields, as well as from outside academia (e.g. societal stakeholders). In the context of digital libraries, it signifies the synergistic fusion of library and information science, computer science and other relevant humanistic disciplines to build comprehensive and user-centric systems.The evolution of digital libraries, particularly those centered on community needs, is a compelling narrative of transdisciplinary integration, marked by distinct phases.In the pre-digital library era, libraries operated within traditional silos, primarily focusing on cataloging, classification and the physical preservation of collections. Their core mission revolved around providing access to tangible resources. However, the rise of digital technologies underscored a critical shift. Suddenly, the efficient management of digital collections and the development of sophisticated digital systems necessitated a new set of skills, largely rooted in computer science. This marked the initial recognition of a need for librarian’s competencies beyond traditional librarianship.The formal introduction of computer science into the library landscape was pivotal. Computer scientists brought expertise in developing digital systems, automating cataloging processes and building robust databases. Yet, this early collaboration was not without its friction. Library information science, with its long-standing emphasis on human-centered information retrieval, often found its priorities at odds with computer science’s focus on technical efficiency. This created a discernible gap in methodologies, objectives and even professional lexicons. Initial digital library projects in the 1990s, such as the Digital Library Initiative in the USA, showcased a growing collaboration between computer scientists and information scientists. A paper by Borgman (1999) on “What are digital libraries? Competing visions” in which Borgman (1999) articulates how information scientists emphasized human-centered issues and usability, while computer scientists focused on scalable systems and retrieval algorithms, creating a clear divergence in priorities.As digital libraries began to take shape, they emerged as a fascinating “boundary object” – a concept that could potentially bridge the divide between library information science and computer science. Despite this potential, each discipline maintained distinct, and sometimes conflicting, goals. Early transdisciplinary projects, though demonstrating the promise of digital libraries as community-driven knowledge resources, consistently encountered barriers stemming from divergent vocabularies, methodologies and fundamental objectives. The vision was shared, but the paths to achieving it often diverged. For instance, the “Million Book Project” [1] aimed to digitize millions of books, a task heavily reliant on engineering solutions for scanning and storage. However, discussions about its long-term impact on information access and cultural preservation often highlighted the differing priorities between the technical feasibility (computer science) and the usability and societal impact (library information science), as documented in project reports and associated research papers.A significant turning point arrived with the growing traction of community-centered approaches. Digital libraries began to shift their focus from mere repositories to dynamic platforms designed to serve diverse user needs. This paradigm demanded a truly cross-disciplinary expertise, moving beyond simple information access to embrace initiatives that facilitated collaboration, knowledge sharing and profound community engagement. Projects emerged where both information scientists and computer scientists had to actively contribute their specialized knowledge to design libraries that were truly responsive to the communities they served. A prominent European example is Europeana [2], a platform that aggregates cultural heritage from thousands of institutions across Europe. Europeana serves as a prime illustration of a community-centered digital library, bringing together diverse cultural content for a broad public audience. Its success hinges on the transdisciplinary collaboration between librarians (for content curation, metadata standards and cultural context); computer scientists (for building scalable infrastructure, interoperability and search functionalities); and digital humanists (for enriching content with narratives and fostering user engagement). The platform’s commitment to open access and its initiatives for public participation demonstrate its user-centric model, requiring continuous collaboration across these distinct fields to ensure content discoverability, preservation and widespread community benefit.Despite the progress, the journey toward seamless transdisciplinary integration remained fraught with challenges. A persistent gap in understanding and education between library information science and computer science persisted, particularly evident in regions like Italy where academic structures traditionally maintained rigid disciplinary boundaries. Research on library education programs, particularly in Europe, often points to a lack of interdisciplinary curricula that truly bridge library information science and computer science. This highlighted a critical need for a new paradigm – one that could foster joint frameworks valuing both the technical infrastructure provided by computer science and the human-centered design principles championed by library information science. Especially in contexts where “iSchools” models (which typically integrate these fields) are not prevalent, this creates a workforce that might not be fully equipped for truly transdisciplinary digital library development. Without such a paradigm, achieving true integration proved difficult. A notable attempt to bridge this educational gap internationally was the Digital Library Learning International Master program. This joint master’s program, involving universities from Norway, Estonia and Italy, aimed to provide students with a comprehensive understanding of digital libraries, combining theoretical knowledge from library information science with practical skills from computer science. Despite its innovative approach to fostering transdisciplinary learning, such initiatives remained relatively rare and highlighted the general difficulty in establishing truly integrated curricula across different national academic systems.The current vision of community-centered digital libraries embodies a truly transdisciplinary approach. It emphasizes a library that skillfully leverages both technical (computer science) and user-centric (library information science) methodologies to cultivate an interactive, participatory space. This phase marks a significant evolution toward a human-centered design, where the user and community needs are at the forefront of development.Furthermore, the advent of artificial intelligence (AI) and other new technologies offers unprecedented opportunities for bridging the remaining gaps. AI tools provide novel avenues for collaboration, data analysis and user interaction, allowing for a more symbiotic relationship between the fields. Information professionals (librarians) are increasingly adapting their roles to incorporate technical skills, while computer scientists are adopting a more user-centric focus in their development efforts. This reciprocal evolution is critical, transforming digital libraries into vibrant, inclusive hubs that not only store information but actively empower and engage their communities through a truly integrated and human-centric design. Contemporary projects in digital libraries demonstrate this human-centered transdisciplinary approach.Highlights from this issueHere are the descriptions of the papers from this issue:Ensuring security of personal data in library services platforms of academic libraries in the EU by Anita Katulić and Tihomir KatulićThis paper addresses the challenge of securing personal data in next-generation library services platforms (LSPs) used by academic libraries in the European Union. It aims to outline risks, examine legal obligations for data protection, suggest approaches for compliance and explore ways to ensure patrons’ data protection rights within LSPs.Locked out! Exploring university library websites’ accessibility by students with visual disabilities by Patience Agabirwe, George W. Kiyingi and Elena MacevicuteThis paper explores the experiences of students with visual disabilities in accessing university library websites for digital information resources, highlighting that inaccessibility remains a challenge.Open access policies of Indian institutions: based on ROARMAP by Sudhakar Mishra and Archana ShuklaThis paper analyzes the open access policies of Indian institutions registered in the Registry of Open Access Repositories Mandatory Archiving Policies (ROARMAP) to understand the open access policies they have adopted.Organizational structure and representation in digital institutional repository collections by Timothy ProvenzanoThis study focuses on the “flat” structure model used to present digital archival materials in institutional repositories. It aims to identify the disadvantages of this model and propose an alternative that combines the benefits of both contemporary and traditional hierarchical presentation methods.Users perception of social Q&A sites: an empirical study of information seeking and sharing behaviour in SCIS environments by Arshia Ayoub and Zahid Ashraf WaniThis paper aims to understand user perceptions of social Q&A (SQA) sites as alternatives to traditional library reference services. It seeks to provide insights into SQA sites and evaluate the motivations and expectations of users who seek and respond to information on these platforms.A cloud-based adoption model for digital preservation services for university libraries by Hassan Mallam M. Ibrahim, Kamsuriah Ahmad and Hasimi SallehudinThis paper examines factors influencing the successful adoption of cloud computing by university libraries for digital preservation in the context of 21st-century technological advancements.A systematic review of digital curation services in academic libraries: navigating policies, skills and challenges by Muhammad Zareef and Munazza JabeenThis review provides a detailed understanding of digital curation services (DCS) in academic libraries in developing countries, a field that requires resources for infrastructure, training and policy development.An empirical assessment of digital preservation skills among university librarians in Pakistan by Rafiq Ahmad, Muhammad Rafiq, Muhammad Fahad Khalil and Muhammad Haris KhalilThis study assesses the digital preservation skills of university librarians in Pakistan, finding them to be at a moderate level among the surveyed librarians.Facilitating conditions, performance expectancy and use of electronic devices by senior secondary school students in Ibadan North Local Government Area, Oyo State, Nigeria by Alice A. Bamigbola and Utibe Francis UdomahThis study investigates the facilitating conditions and performance expectancy factors that influence the use of electronic devices among students in private senior secondary schools in the Ibadan North Local Government Area, Oyo State, Nigeria.Navigating the Artificial Intelligence frontier on cataloguing and metadata work in libraries by Getaneh Alemu interviewed by Anna Maria TammaroGetaneh Alemu was interviewed due to his proactive engagement with artificial intelligence (AI) in cataloging, which includes exploring, testing and evaluating AI tools, as well as discussing with colleagues to understand AI’s practical applications in metadata creation, enrichment and the enhancement of library catalogs and discovery systems.",article,True,False,True,True,"The paper is in scope (Q1) because it discusses the interdisciplinary challenges and evolution of digital libraries, focusing on the sociotechnical aspects of integrating different disciplinary approaches to manage and make accessible digital collections. It is not an overview of a specific initiative (Q2) but rather diagnoses systemic challenges and proposes the need for new paradigms and joint frameworks (Q3). The paper also provides a narrative account of the historical evolution and implementation challenges of transdisciplinary efforts in digital libraries, extracting lessons learned about the process of integrating different disciplines (Q4).",,journal,True,https://www.emerald.com/dlp/article-pdf/41/3/399/10076282/dlp-06-2025-207en.pdf,0,IT,University of Parma,Library Science and Administration; ICT in Developing Communities; Web and Library Services,Quality Education,
W2949493160,https://doi.org/10.1371/journal.pone.0216723,https://doi.org/10.1371/journal.pone.0216723,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico",2019,"Juliano Palacios‐Abrantes, Andrés M. Cisneros‐Montemayor, Miguel Ángel Cisneros‐Mata, Laura Juguera Rodríguez, Francisco Arreguı́n-Sánchez, Verónica Aguilar, Santiago Domínguez-Sánchez, Stuart Fulton, Raquel López-Sagástegui, Héctor Reyes‐Bonilla, Rocío Rivera-Campos, Silvia Salas, Nuno Simões, William W. L. Cheung",PLoS ONE,Public Library of Science,1932-6203,14,6,e0216723,Metadata; Multidisciplinary approach; Data science; Data sharing; Standardization; Traditional knowledge; Computer science; Environmental data; Knowledge sharing; Environmental resource management; Geography; Ecology; World Wide Web; Knowledge management; Political science; Environmental science,"Climate change, mismanaged resource extraction, and pollution are reshaping global marine ecosystems with direct consequences on human societies. Sustainable ocean development requires knowledge and data across disciplines, scales and knowledge types. Although several disciplines are generating large amounts of data on marine socio-ecological systems, such information is often underutilized due to fragmentation across institutions or stakeholders, limited standardization across scale, time or disciplines, and the fact that information is often not searchable within existing databases. Compiling metadata, the information which describes existing sets of data, is an effective tool that can address these challenges, particularly when metadata corresponding to multiple datasets can be combined to integrate, organize and classify multidisciplinary data. Here, using Mexico as a case study, we describe the compilation and analysis of a metadatabase of ocean knowledge that aims to improve access to information, facilitate multidisciplinary data sharing and integration, and foster collaboration among stakeholders. We also evaluate the knowledge trends and gaps for informing ocean management. Analysis of the metadatabase highlights that past and current research in Mexico focuses strongly on ecology and fisheries, with biological data more consistent over time and space compared to data on human dimensions. Regional imbalances in available information were also evident, with most available information corresponding to the Gulf of California, Campeche Bank and Caribbean and less available for the central and south Pacific and the western Gulf of Mexico. Despite existing knowledge gaps in Mexico and elsewhere, we argue that systematic efforts such as this can often reveal an abundance of information for decision-makers to develop policies that meet key commitments on ocean sustainability. Surmounting current cross-scale social and ecological challenges for sustainability requires transdisciplinary approaches. Metadatabases are critical tools to make efficient use of existing data, highlight and address strengths and deficiencies, and develop scenarios to inform policies for managing complex marine social-ecological systems.",article,True,True,True,True,"The paper is in scope as it addresses interdisciplinary challenges in standardizing and integrating marine research data using metadata. It provides an overview of a specific metadatabase compilation and analysis effort. It also diagnoses macroscopic challenges in data fragmentation and proposes metadatabases as a critical tool for addressing them. Finally, it describes the process of compiling and analyzing the metadatabase, evaluating its strengths and limitations, thus telling the story of its implementation.",,journal,True,https://doi.org/10.1371/journal.pone.0216723,18,BR; MX; CA; ES; US,Universidad Autónoma de Baja California Sur; Instituto Nacional de Pesca y Acuacultura; Scripps Institution of Oceanography; University of California San Diego; Universidad Marista de Mérida; University of British Columbia; National Commission for the Knowledge and Use of Biodiversity; Universidad Nacional Autónoma de México; Instituto Politécnico Nacional; Fisheries and Oceans Canada; Texas A&M University – Corpus Christi; Instituto de Pesca; Fundación Biodiversidad; Environmental Defense Fund,Microbial Community Ecology and Physiology; Coastal and Marine Management; Research Data Management Practices,,Natural Sciences and Engineering Research Council of Canada; Walton Family Foundation
W4312031862,https://doi.org/10.3390/en15249531,https://doi.org/10.3390/en15249531,Topic Taxonomy and Metadata to Support Renewable Energy Digitalisation,2022,"Andrea Michiorri, Anna Maria Sempreviva, Sean Philipp, Paula Pérez‐López, Alain Ferrière, David Moser",Energies,Multidisciplinary Digital Publishing Institute,1996-1073,15,24,9531,Metadata; Interoperability; Renewable energy; Computer science; Data science; Grid; Smart grid; Data sharing; World Wide Web; Engineering; Geography,"Research and innovation in renewable energy, such as wind and solar, have been supporting the green transformation of energy systems, the backbone of a low-carbon climate-resilient society. The major challenge is to manage the complexity of the grid transformation to allow for higher shares of highly variable renewables while securing the safety of the stability of the grid and a stable energy supply. A great help comes from the ongoing digital transformation where digitisation of infrastructures and assets in research and industry generates multi-dimensional and multi-disciplinary digital data. However, a data user needs help to find the correct data to exploit. This has two significant facets: first, missing data management, i.e., datasets are neither findable because of missing community standard metadata and taxonomies, nor interoperable, i.e., missing standards for data formats; second, data owners having a negative perception of sharing data. To make data ready for data science exploitation, one of the necessary steps to map the existing data and their availability to facilitate their access is to create a taxonomy for the field’s topics. For this, a group of experts in different renewable technologies such as photovoltaics, wind and concentrated solar power and in transversal fields such as life cycle assessment and the EU taxonomy for sustainable activities have been gathered to propose a coherent and detailed taxonomy for renewable energy-related data. The result is a coherent classification of relevant data sources, considering both the general aspects applicable to electricity generation from selected renewable energy technologies and the specific aspects of each of them. It is based on previous relevant work and can be easily extended to other renewable resources not considered in this work and conventional energy technology.",article,True,False,True,True,"The paper is in scope as it addresses interdisciplinary collaboration among renewable energy experts to create a taxonomy for FAIR data stewardship. It does not primarily serve as an overview of a specific named initiative. However, it diagnoses structural challenges related to missing metadata standards and proposes a generalized, extensible taxonomy as a framework. It also narrates the process of how this specific taxonomy was designed and implemented by a group of experts.",,journal,True,https://www.mdpi.com/1996-1073/15/24/9531/pdf?version=1671523904,12,AT; FR; DK; IT,"Laboratoire Procédés, Matériaux et Energie Solaire; Eurac Research; Centre National de la Recherche Scientifique; Centre Procédés, Energies Renouvelables et Systèmes Energétiques; École Nationale Supérieure des Mines de Paris; Université Paris Sciences et Lettres; Technical University of Denmark; Austrian Institute of Technology",Research Data Management Practices; Scientific Computing and Data Management,Responsible consumption and production,
